Food_items,Cluster,Breakfast,Lunch,Dinner
aloo Tikki,1,0,1,1
Kadhi,3,1,0,0
Bananas,1,1,0,0
Bread made in wheat,0,0,1,1
Mango Chutney,4,1,0,0
Baati,1,0,1,1
Brown Rice,0,0,1,1
Cauliflower,1,0,1,1
cheese,2,1,0,0
Coffee,1,1,0,0
Corn,1,1,1,1
Bhel Puri,4,0,0,1
Grapes,1,1,0,0
Milk,1,1,0,1
Cashew Nuts,2,1,0,0
Paneer Tikka,1,0,1,1
Orange,1,1,0,0
Maggie,1,0,1,1
Pears,1,1,0,0
Aloo Matar ,1,0,1,1
Glucone'D,2,1,0,0
Sitafal,1,0,1,1
Rohu Curry,3,0,1,1
Surmai,2,0,0,1
Veg Pizza,3,0,0,1
Cheese Pizza,3,0,0,1
Onion Pakoda,3,0,1,1
Butter Chicken,2,0,1,1
Chicken Kolapuri,3,0,1,1
Chicken 65,3,0,1,1
Gulab Jamun,4,0,1,1
Jalebi,4,0,1,1
Dairy Milk,4,1,0,1
Fruit and Nut chocolate,0,1,0,1
Dosa,3,1,1,1
Idli,3,1,1,1
Poha,1,1,0,0
Chappati,3,0,1,1
Tomato,1,1,1,1
Dahi,1,1,1,1
Cake,4,1,0,0
Chowmein,1,0,1,1
Uttapam,3,1,1,1
Bhaji Pav,3,1,0,0
Dal Makhani,1,0,1,1
Almonds,2,1,0,0
Mushrooms,1,1,1,1
Egg Yolk ,2,1,0,0
Sweet Potatoes ,1,1,1,0
Masala Aloo,1,1,1,1
White Rice,0,0,1,1
Orange juice,1,1,0,0
Sweet Dahi,1,1,1,1
Cornflakes,1,1,0,0
Laal Chai,1,1,0,0
Pumpkin seeds,2,1,0,0
Butter Paneer,1,0,1,1
Salmon,2,0,1,1
Chocos,0,1,0,0
Beans,1,0,1,1
Dal Fry,1,0,1,1
Red Sauce Pasta,1,0,1,1
Chai,1,1,0,0
Apples,1,1,0,0
Strawberries,1,1,0,0
Kiwi,1,1,1,0
Mutton,0,0,1,1
Boiled Chicken,2,0,1,1
Chicken Tandoori,2,0,0,1
Kebab,3,0,1,1
Tomato Rice,3,0,1,1
Prawns,2,0,0,1
Momos,3,0,0,1
Mixed Veg,3,0,1,1
Chicken sausage,2,0,0,1
Malai Chicken,2,0,0,1
Nachos,3,1,1,1
Chicken Popcorn,2,0,1,1
Nalli Nihari,2,0,1,1
Fish Eggs,2,0,1,1
King Fish,2,1,0,0
Banana Chips,4,1,0,0
Honey,4,1,0,1
Chocolate Icecream,3,0,0,1
Vanilla Ice cream,3,0,0,1
Strawberry Icecream,3,0,0,1
Rasmalai,4,0,0,1
Chocolate milk,4,1,0,0
Kheer,0,0,0,1
